"","F1.Vial","Day","Treatment","Numbfemales.sum","male.sum","num_co.sum","SCO_1.sum","SCO_2.sum","DCO.sum","total_offspring","Num_moms","fecundity"
"1",10,"A","21",428,351,243,63,98,41,779,5,155.8
"2",10,"B","21",347,292,222,54,84,42,639,5,127.8
"3",10,"C","21",229,176,176,42,70,32,405,5,81
"4",10,"D","21",190,150,137,30,47,30,340,5,68
"5",11,"A","21",136,124,94,22,32,20,260,5,52
"6",11,"B","21",138,98,69,15,30,12,236,5,47.2
"7",11,"C","21",88,62,60,17,21,11,150,5,30
"8",11,"D","21",95,76,59,12,31,8,171,5,34.2
"9",15,"A","21",277,189,139,28,77,17,466,5,93.2
"10",15,"B","21",294,209,150,36,68,23,503,5,100.6
"11",15,"C","21",194,155,160,41,53,33,349,5,69.8
"12",15,"D","21",146,131,117,19,52,23,277,5,55.4
"13",17,"A","26",237,202,146,35,53,29,439,5,87.8
"14",17,"B","26",155,122,108,24,40,22,277,5,55.4
"15",17,"C","26",99,112,112,23,43,23,211,5,42.2
"16",17,"D","26",125,86,67,14,35,9,211,5,42.2
"17",25,"A","26",154,121,86,28,32,13,275,5,55
"18",25,"B","26",83,108,77,21,34,11,191,5,38.2
"19",25,"C","26",93,89,87,20,45,11,182,5,36.4
"20",25,"D","26",81,77,65,13,26,13,158,5,31.6
"21",29,"A","26",165,177,139,39,54,23,342,5,68.4
"22",29,"B","26",157,118,81,29,30,11,275,5,55
"23",29,"C","26",90,93,97,24,29,22,183,5,36.6
"24",29,"D","26",66,56,53,17,18,9,122,5,24.4
"25",32,"A","26",78,98,63,17,26,10,176,5,35.2
"26",32,"B","26",175,103,71,18,29,12,278,5,55.6
"27",32,"C","26",88,65,62,15,29,9,153,5,30.6
"28",32,"D","26",91,53,48,7,19,11,144,5,28.8
"29",33,"A","26",159,162,141,27,48,33,321,5,64.2
"30",33,"B","26",155,112,88,20,36,16,267,5,53.4
"31",33,"C","26",88,74,73,21,22,15,162,5,32.4
"32",33,"D","26",92,43,40,10,14,8,135,5,27
"33",8,"A","21",435,415,323,70,117,68,850,5,170
"34",8,"B","21",420,262,219,54,75,45,682,5,136.4
"35",8,"C","21",239,251,224,60,96,34,490,5,98
"36",8,"D","21",161,164,141,31,60,25,325,5,65
"37",9,"A","21",329,297,264,62,78,62,626,5,125.2
"38",9,"B","21",368,307,232,51,93,44,675,5,135
"39",9,"C","21",351,219,211,50,83,39,570,5,114
"40",9,"D","21",295,212,186,50,64,36,507,5,101.4
