"","F1.Vial","Day","Treatment","Numbfemales.sum","male.sum","num_co.sum","SCO_1.sum","SCO_2.sum","DCO.sum","total_offspring","Num_moms","fecundity"
"1",213,"A","Control",434,474,366,99,129,69,908,8,113.5
"2",213,"B","Control",415,369,285,58,117,55,784,8,98
"3",213,"C","Control",384,275,229,49,80,50,659,8,82.375
"4",213,"D","Control",85,86,80,19,31,15,171,8,21.375
"5",214,"A","Control",405,393,311,79,104,64,798,8,99.75
"6",214,"B","Control",409,288,220,59,99,31,697,8,87.125
"7",214,"C","Control",309,174,144,30,52,31,483,8,60.375
"8",214,"D","Control",212,124,105,27,34,22,336,8,42
"9",215,"A","Control",427,474,347,97,134,58,901,8,112.625
"10",215,"B","Control",353,324,255,68,75,56,677,8,84.625
"11",215,"C","Control",300,260,232,59,87,43,560,8,70
"12",215,"D","Control",56,86,70,30,22,9,142,8,17.75
"13",216,"A","Control",551,521,383,96,149,69,1072,8,134
"14",216,"B","Control",364,319,245,62,99,42,683,8,85.375
"15",216,"C","Control",376,207,171,52,59,30,583,8,72.875
"16",216,"D","Control",151,161,133,38,43,26,312,8,39
"17",218,"A","Control",362,326,268,60,110,49,688,8,86
"18",218,"B","Control",190,205,159,43,58,29,395,8,49.375
"19",218,"C","Control",236,133,119,20,41,29,369,8,46.125
"20",218,"D","Control",89,80,67,13,22,16,169,8,21.125
"21",220,"A","Control",435,402,327,69,112,73,837,8,104.625
"22",220,"B","Control",390,320,259,67,96,48,710,8,88.75
"23",220,"C","Control",277,152,121,32,53,18,429,8,53.625
"24",220,"D","Control",80,66,45,8,21,8,146,8,18.25
"25",27,"A","Age",260,234,194,45,59,45,494,9,54.8888888888889
"26",27,"B","Age",375,211,183,44,59,40,586,9,65.1111111111111
"27",27,"C","Age",188,110,74,21,27,13,298,9,33.1111111111111
"28",27,"D","Age",91,145,119,30,47,21,236,9,26.2222222222222
"29",31,"A","Age",256,202,145,40,51,27,458,8,57.25
"30",31,"B","Age",427,320,220,67,83,35,747,8,93.375
"31",31,"C","Age",186,118,87,26,31,15,304,8,38
"32",31,"D","Age",137,113,100,24,42,17,250,8,31.25
"33",35,"A","Age",327,282,224,54,76,47,609,8,76.125
"34",35,"B","Age",270,177,119,33,56,15,447,8,55.875
"35",35,"C","Age",114,78,62,15,27,10,192,8,24
"36",35,"D","Age",63,80,70,19,25,13,143,8,17.875
"37",39,"A","Age",267,318,283,61,84,69,585,9,65
"38",39,"B","Age",385,322,245,63,104,39,707,9,78.5555555555556
"39",39,"C","Age",322,243,202,40,84,39,565,9,62.7777777777778
"40",39,"D","Age",195,181,150,37,55,29,376,9,41.7777777777778
"41",43,"A","Age",248,265,219,41,70,54,513,6,85.5
"42",43,"B","Age",377,255,180,41,69,35,632,6,105.333333333333
"43",43,"C","Age",224,194,153,34,61,29,418,6,69.6666666666667
"44",43,"D","Age",207,144,112,26,44,21,351,6,58.5
"45",45,"A","Age",177,158,134,36,40,29,335,7,47.8571428571429
"46",45,"B","Age",260,158,147,35,48,32,418,7,59.7142857142857
"47",45,"C","Age",77,87,81,16,33,16,164,7,23.4285714285714
"48",45,"D","Age",109,113,95,24,47,12,222,7,31.7142857142857
